Seniūnija                               ,Gatvė                                ,Namo Nr.,Buto Nr.                               ,Bendrasis (naudingasis) būsto plotas kv. m ,Socialinis būstas,Unikalus Nr.
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,32,37,38.83,Socialinis būstas,1098-7000-4010:0049                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,55,20,25.08,Socialinis būstas,1096-5000-7019:0046                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,60,36,28.39,Socialinis būstas,1096-5000-8016:0049                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,20,20.48,Socialinis būstas,1096-6000-9018:0106                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,30,21.02,Socialinis būstas,1096-6000-9018:0105                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,49,26.35,Socialinis būstas,1096-6000-9018:0104                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,75,69,32.19,Socialinis būstas,1096-6000-9018:0108                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,82,33,27.19,Socialinis būstas,1096-7000-7017:0029                     
Antakalnio seniūnija                    ,Antakalnio g.                                                                                                                                         ,94,7,50.06,Socialinis būstas,1096-6001-0017:0048                     
Antakalnio seniūnija                    ,Debesijos g.                                                                                                                                          ,2A      ,35,15.23,Socialinis būstas,1096-0005-7010:0085                     
Antakalnio seniūnija                    ,Duburio g.                                                                                                                                            ,9,17,47.52,Socialinis būstas,4400-4767-9601:7070                     
Antakalnio seniūnija                    ,Kanklių g.                                                                                                                                            ,4,36,49.84,Socialinis būstas,1098-0005-5012:0046                     
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,24.37,Socialinis būstas,1097-8008-0015:0034                     
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,18.93,Socialinis būstas,1097-8008-0015:0034/3                   
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,17.63,Socialinis būstas,1097-8008-0015:0034/4                   
Antakalnio seniūnija                    ,Keramikų g.                                                                                                                                           ,18,2,17.54,Socialinis būstas,1097-8008-0015:0034/2                   
Antakalnio seniūnija                    ,M. K. Oginskio g.                                                                                                                                     ,12,1,55.13,Socialinis būstas,1094-0217-7013:0004                     
Antakalnio seniūnija                    ,M. K. Oginskio g.                                                                                                                                     ,19,30,63.47,Socialinis būstas,1097-5007-5013:0039                     
Antakalnio seniūnija                    ,P. Širvio g.                                                                                                                                          ,14,39,58.33,Socialinis būstas,1096-2040-8017:0038                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,11,27,27.8,Socialinis būstas,1097-2007-3016:0051                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,16,21,20.37,Socialinis būstas,1097-0015-5015:0019                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,16,44,26.19,Socialinis būstas,1097-0015-5015:0110                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,16,56,26.26,Socialinis būstas,1097-0015-5015:0105                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,16,61,31.55,Socialinis būstas,1097-0015-5015:0106                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,16,96,21.05,Socialinis būstas,1097-0015-5015:0108                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,24,4,44.58,Socialinis būstas,1096-3010-9010:0078                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,24,44,44.36,Socialinis būstas,1096-3010-9010:0039                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,25,64,44.22,Socialinis būstas,1096-3011-0010:0059                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,26,9,44.31,Socialinis būstas,1096-3011-1018:0120                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,27,16,44.57,Socialinis būstas,1096-3011-2015:0082                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,27,58,45.8,Socialinis būstas,1096-3011-2015:0058                     
Antakalnio seniūnija                    ,P. Vileišio g.                                                                                                                                        ,31,36,44.48,Socialinis būstas,1096-4010-9015:0089                     
Antakalnio seniūnija                    ,Pylimėlių g.                                                                                                                                          ,44A     ,36,68.81,Socialinis būstas,4400-3751-5923:8918                     
Antakalnio seniūnija                    ,V. Grybo g.                                                                                                                                           ,40,13,43.65,Socialinis būstas,1095-7005-4014:0059                     
Antakalnio seniūnija                    ,Žolyno g.                                                                                                                                             ,6,46,24.91,Socialinis būstas,1096-6019-7019:0124                     
Antakalnio seniūnija                    ,Žolyno g.                                                                                                                                             ,6,62,25.39,Socialinis būstas,1096-6019-7019:0127                     
Antakalnio seniūnija                    ,Žolyno g.                                                                                                                                             ,10,35,24.56,Socialinis būstas,1096-7017-6011:0131                     
Antakalnio seniūnija                    ,Žolyno g.                                                                                                                                             ,10,125,26.53,Socialinis būstas,1096-7017-6011:0138                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,2,145,57.81,Socialinis būstas,1399-7002-6018:0039                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,43,12,81.16,Socialinis būstas,1099-1001-4016:0010                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,43,43,40.21,Socialinis būstas,1099-1001-4016:0081                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,43,78,80.77,Socialinis būstas,1099-1001-4016:0077                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,59,62,54.09,Socialinis būstas,1098-8003-0015:0071                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,59,78,50.19,Socialinis būstas,1098-8003-0015:0108                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,81,27,37.05,Socialinis būstas,1098-9002-1018:0053                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,81,38,35.24,Socialinis būstas,1098-9002-1018:0038                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,87,38,50.32,Socialinis būstas,1098-9002-4012:0093                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,89,58,35.47,Socialinis būstas,1098-9002-5010:0061                     
Fabijoniškių seniūnija                  ,Fabijoniškių g.                                                                                                                                       ,93,86,50.47,Socialinis būstas,1098-9002-8012:0085                     
Fabijoniškių seniūnija                  ,Gedvydžių g.                                                                                                                                          ,4,19,68.45,Socialinis būstas,1099-0014-8018:0066                     
Fabijoniškių seniūnija                  ,Gedvydžių g.                                                                                                                                          ,24,71,50.49,Socialinis būstas,1099-0015-4014:0073                     
Fabijoniškių seniūnija                  ,L. Giros g.                                                                                                                                           ,82,30,35.53,Socialinis būstas,1099-0004-4011:0080                     
Fabijoniškių seniūnija                  ,L. Giros g.                                                                                                                                           ,84,7,49.57,Socialinis būstas,1099-0004-5012:0007                     
Fabijoniškių seniūnija                  ,L. Zamenhofo g.                                                                                                                                       ,8,35,54.4,Socialinis būstas,4400-0376-3802:5442                     
Fabijoniškių seniūnija                  ,P. Žadeikos g.                                                                                                                                        ,14,44,39.95,Socialinis būstas,1098-9006-7011:0060                     
Fabijoniškių seniūnija                  ,P. Žadeikos g.                                                                                                                                        ,15,53,85.72,Socialinis būstas,4400-0352-0141:3939                     
Fabijoniškių seniūnija                  ,P. Žadeikos g.                                                                                                                                        ,17,46,89.65,Socialinis būstas,4400-0350-8070:3742                     
Fabijoniškių seniūnija                  ,P. Žadeikos g.                                                                                                                                        ,17,94,65.15,Socialinis būstas,4400-0351-2607:3822                     
Fabijoniškių seniūnija                  ,P. Žadeikos g.                                                                                                                                        ,18,6,66.57,Socialinis būstas,1098-9006-9017:0040                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,10,8,80.85,Socialinis būstas,1098-7013-0017:0083                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,10,11,36.35,Socialinis būstas,1098-7013-0017:0084                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,17,49,62.17,Socialinis būstas,1098-8008-3010:0101                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,19,1,62.03,Socialinis būstas,1098-8008-5016:0093                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,31,32,61.64,Socialinis būstas,1098-8009-1012:0061                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,32,34,66.37,Socialinis būstas,1098-8009-2012:0042                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,41,39,35.8,Socialinis būstas,1098-9009-4010:0041                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,43,18,35.58,Socialinis būstas,1098-9009-6014:0015                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,49,9,60.11,Socialinis būstas,1098-9010-1012:0009                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,49,62,50.66,Socialinis būstas,1098-9010-1012:0072                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,78,29,67.04,Socialinis būstas,1098-8013-8010:0061                     
Fabijoniškių seniūnija                  ,S. Stanevičiaus g.                                                                                                                                    ,102,40,61.83,Socialinis būstas,1099-1005-8012:0101                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,3,36A                                     ,44.44,Socialinis būstas,4400-5690-1534:1617                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,5,45,67.08,Socialinis būstas,1098-9012-1016:0085                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,9,1,62.15,Socialinis būstas,1098-9012-3010:0083                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,9,2,67.22,Socialinis būstas,1098-9012-3010:0082                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,11,32,68.19,Socialinis būstas,1098-9012-4019:0101                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,3,40.2,Socialinis būstas,1099-4030-8010:0005                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,11,80.86,Socialinis būstas,1099-4030-8010:0013                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,17,80.54,Socialinis būstas,1099-4030-8010:0019                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,18,40.2,Socialinis būstas,1099-4030-8010:0020                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,21,86.25,Socialinis būstas,1099-4030-8010:0023                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,35,81.25,Socialinis būstas,1099-4030-8010:0036                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,39,81.33,Socialinis būstas,1099-4030-8010:0040                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,70,79.23,Socialinis būstas,1099-4030-8010:0070                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,15,77,80.64,Socialinis būstas,1099-4030-8010:0077                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,29,6,50.27,Socialinis būstas,1098-9012-7010:0093                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,73,72,37.15,Socialinis būstas,4400-0638-9942:4020                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,79,72,37.13,Socialinis būstas,4400-0640-9390:4187                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,81,7,53.72,Socialinis būstas,4400-0762-9178:6463                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,83,43,50.31,Socialinis būstas,4400-0630-2890:3019                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,83,57,54.59,Socialinis būstas,4400-0630-3022:3032                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,83,73,49.53,Socialinis būstas,4400-0630-3222:3049                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,83,107,36.55,Socialinis būstas,4400-0630-3044:3033                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,87,47,53.2,Socialinis būstas,4400-0483-9170:7195                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,89,18,52.79,Socialinis būstas,4400-0487-8537:7955                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,93,95,56.71,Socialinis būstas,4400-0889-3798:7932                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,101,126,48.29,Socialinis būstas,4400-0975-3602:7357                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,101,142,48.44,Socialinis būstas,4400-0975-3935:7374                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,101,188,50.79,Socialinis būstas,4400-0975-6350:7427                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,101,215,45.86,Socialinis būstas,4400-0975-9208:7506                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,103,77,35.65,Socialinis būstas,4400-1298-8233:9125                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,105,97,34.92,Socialinis būstas,4400-1127-2436:9048                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,105,154,34.87,Socialinis būstas,4400-1127-2478:9050                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,107,40,42.23,Socialinis būstas,4400-1206-9757:2518                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,107,223,62.82,Socialinis būstas,4400-1207-4267:2718                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,107,231,41.51,Socialinis būstas,4400-1207-4401:2726                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,107,291,42.22,Socialinis būstas,4400-1207-5586:2787                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,109,9,44.08,Socialinis būstas,4400-1579-7286:7140                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,109,28,55.27,Socialinis būstas,4400-1579-7476:7156                     
Fabijoniškių seniūnija                  ,Salomėjos Nėries g.                                                                                                                                   ,109,48,51,Socialinis būstas,4400-1579-7669:7170                     
Grigiškių seniūnija                     ,Jaunimo skg. (Grigiškės)                                                                                                                              ,9,17,24.88,Socialinis būstas,7996-7003-7017:0029                     
Grigiškių seniūnija                     ,Jaunimo skg. (Grigiškės)                                                                                                                              ,9,28,54.14,Socialinis būstas,7996-7003-7017:0041                     
Grigiškių seniūnija                     ,Juodšilių g.                                                                                                                                          ,6,29,51.74,Socialinis būstas,1098-1005-0010:0030                     
Grigiškių seniūnija                     ,Kovo 11-osios g.(Grigiškės)                                                                                                                           ,33,40,61.1,Socialinis būstas,7997-5008-3015:0038                     
Grigiškių seniūnija                     ,Šviesos g. (Grigiškės)                                                                                                                                ,5,91,33,Socialinis būstas,7997-7003-6012:0044                     
Grigiškių seniūnija                     ,Šviesos g. (Grigiškės)                                                                                                                                ,6,37,66.7,Socialinis būstas,7998-9001-2010:0019                     
Grigiškių seniūnija                     ,Šviesos g. (Grigiškės)                                                                                                                                ,7A      ,71,33.28,Socialinis būstas,7997-3008-1011:0082                     
Grigiškių seniūnija                     ,Vilniaus g. (Grigiškės)                                                                                                                               ,45,8,43.44,Socialinis būstas,7996-1007-4016:0011                     
Grigiškių seniūnija                     ,Vilniaus g. (Grigiškės)                                                                                                                               ,55,3,52.81,Socialinis būstas,7996-5007-2018:0001                     
Grigiškių seniūnija                     ,Vilniaus g. (Grigiškės)                                                                                                                               ,57,142,36.04,Socialinis būstas,7998-3004-0010:0034                     
Grigiškių seniūnija                     ,Vilniaus g. (Grigiškės)                                                                                                                               ,57,147,30.29,Socialinis būstas,7998-3004-0010:0150                     
Grigiškių seniūnija                     ,Vilniaus g. (Grigiškės)                                                                                                                               ,61,54,34.34,Socialinis būstas,7999-0009-3018:0054                     
Grigiškių seniūnija                     ,Vilniaus g. (Grigiškės)                                                                                                                               ,63,33,49.54,Socialinis būstas,7998-8002-8019:0029                     
Justiniškių seniūnija                   ,Justiniškių g.                                                                                                                                        ,24,31,67.49,Socialinis būstas,1098-5003-2018:0035                     
Justiniškių seniūnija                   ,Justiniškių g.                                                                                                                                        ,26,32,67.26,Socialinis būstas,1098-5003-3015:0029                     
Justiniškių seniūnija                   ,Justiniškių g.                                                                                                                                        ,44,20,66.99,Socialinis būstas,1098-5004-0012:0031                     
Justiniškių seniūnija                   ,Justiniškių g.                                                                                                                                        ,95,58,66.44,Socialinis būstas,1098-3003-6016:0071                     
Justiniškių seniūnija                   ,Justiniškių g.                                                                                                                                        ,109,18,50.17,Socialinis būstas,1098-3004-0010:0018                     
Justiniškių seniūnija                   ,Justiniškių g.                                                                                                                                        ,115,21,50.17,Socialinis būstas,1098-3004-3013:0107                     
Justiniškių seniūnija                   ,Justiniškių g.                                                                                                                                        ,115,100,66.12,Socialinis būstas,1098-3004-3013:0065                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,9,14,36.62,Socialinis būstas,1098-3007-6016:0072                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,12,20A                                     ,41.04,Socialinis būstas,4400-5690-1556:1619                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,24,80,50.61,Socialinis būstas,1099-1005-7015:0087                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,35,19,51.7,Socialinis būstas,1098-3008-1015:0019                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,42,63,35.34,Socialinis būstas,1098-5007-8010:0079                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,44,15,62.98,Socialinis būstas,4400-1572-0415:5682                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,46,81,41.85,Socialinis būstas,4400-5544-9415:7297                     
Justiniškių seniūnija                   ,Rygos  g.                                                                                                                                             ,17A     ,14,59.18,Socialinis būstas,1099-8013-1033:0028                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,19,20,67.22,Socialinis būstas,1098-3010-1018:0020                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,62,30,50.19,Socialinis būstas,1098-4010-4014:0030                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,64,26,50.23,Socialinis būstas,1098-3012-5010:0038                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,65,29,66.99,Socialinis būstas,1098-4010-6010:0029                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,93,3,51.83,Socialinis būstas,1098-4012-8018:0051                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,128,22,50.25,Socialinis būstas,1098-5010-8019:0022                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,142,1,66.78,Socialinis būstas,1098-4013-9011:0001                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,167,3,65.88,Socialinis būstas,1098-6009-3010:0003                     
Justiniškių seniūnija                   ,Taikos g.                                                                                                                                             ,173,20,35.43,Socialinis būstas,1098-5014-9012:0018                     
Karoliniškių seniūnija                  ,A. J. Povilaičio g.                                                                                                                                   ,3,169,47.1,Socialinis būstas,1097-4014-6045:0096                     
Karoliniškių seniūnija                  ,A. J. Povilaičio g.                                                                                                                                   ,12,105,46.9,Socialinis būstas,1097-4014-8029:0049                     
Karoliniškių seniūnija                  ,A. J. Povilaičio g.                                                                                                                                   ,14,3,60.6,Socialinis būstas,1097-4014-9015:0218                     
Karoliniškių seniūnija                  ,A. J. Povilaičio g.                                                                                                                                   ,14,99,32.7,Socialinis būstas,1097-4014-9026:0216                     
Karoliniškių seniūnija                  ,A. J. Povilaičio g.                                                                                                                                   ,14,117,63.7,Socialinis būstas,1097-4014-9026:0217                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,16,104,32.8,Socialinis būstas,1097-5005-3037:0030                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,17,15,46.9,Socialinis būstas,1097-3004-3010:0251                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,17,139,33.1,Socialinis būstas,1097-3004-3031:0250                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,17,184,47.1,Socialinis būstas,1097-3004-3010:0122                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,17,198,46.8,Socialinis būstas,1097-3004-3042:0175                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,19,129,63.23,Socialinis būstas,1097-3004-4018:0046                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,22,67,47,Socialinis būstas,1097-5005-5020:0188                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,22,70,47,Socialinis būstas,1097-5005-5020:0186                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,22,73,50.23,Socialinis būstas,1097-5005-5031:0037                     
Karoliniškių seniūnija                  ,A. P. Kavoliuko g.                                                                                                                                    ,32,26,68.8,Socialinis būstas,1097-3004-5059:0170                     
Karoliniškių seniūnija                  ,D. Gerbutavičiaus g.                                                                                                                                  ,3,3,46.99,Socialinis būstas,1097-3014-0013:0225                     
Karoliniškių seniūnija                  ,D. Gerbutavičiaus g.                                                                                                                                  ,3,204,32.4,Socialinis būstas,1097-3014-0057:0225                     
Karoliniškių seniūnija                  ,D. Gerbutavičiaus g.                                                                                                                                  ,12,44,46.9,Socialinis būstas,1097-2014-4010:0041                     
Karoliniškių seniūnija                  ,D. Gerbutavičiaus g.                                                                                                                                  ,12,195,63.8,Socialinis būstas,1097-2014-4041:0193                     
Karoliniškių seniūnija                  ,I. Šimulionio g.                                                                                                                                      ,10,200,32.8,Socialinis būstas,1097-4006-8015:0125                     
Karoliniškių seniūnija                  ,L. Asanavičiūtės g.                                                                                                                                   ,4,57,77.9,Socialinis būstas,1097-4018-3040:0054                     
